"sku","name","category","description","price","cost","stock","margin_pct","ai_priority","image_url","is_active"
"TPL-CAL-0001","Nike Tenis Running Negro XS","Calzado","Amortiguacion reactiva para entreno y uso diario. Color Negro. Talla XS. Plantilla demo 1.","55","26.4","9","52","6","","true"
"TPL-CAL-0002","Adidas Tenis Trail Azul S","Calzado","Suela con agarre para senderos y exteriores. Color Azul. Talla S. Plantilla demo 2.","72","36.72","13","49","7","","true"
"TPL-CAL-0003","Puma Taquetes Futbol Rojo M","Calzado","Estabilidad y traccion para cancha. Color Rojo. Talla M. Plantilla demo 3.","63","34.02","17","46","8","","true"
"TPL-ROP-0004","Under Armour Camiseta Dry Fit Gris L","Ropa","Tela transpirable para entrenamientos intensos. Color Gris. Talla L. Plantilla demo 4.","44","25.08","21","43","9","","true"
"TPL-ROP-0005","Reebok Short Deportivo Verde XL","Ropa","Ligero comodo y de secado rapido. Color Verde. Talla XL. Plantilla demo 5.","25","15","25","40","10","","true"
"TPL-ROP-0006","New Balance Legging Performance Blanco Unica","Ropa","Compresion media para gym y running. Color Blanco. Talla Unica. Plantilla demo 6.","31","19.53","29","37","5","","true"
"TPL-ROP-0007","Asics Chaqueta Rompeviento Naranja 38","Ropa","Proteccion ligera para clima cambiante. Color Naranja. Talla 38. Plantilla demo 7.","31","13.95","33","55","6","","true"
"TPL-ACC-0008","Mizuno Botella Termica Morado 39","Accesorios","Mantiene la bebida fria por horas. Color Morado. Talla 39. Plantilla demo 8.","22","10.56","37","52","7","","true"
"TPL-ACC-0009","Wilson Mochila Training Negro 40","Accesorios","Compartimentos para gym y laptop. Color Negro. Talla 40. Plantilla demo 9.","43","21.93","41","49","8","","true"
"TPL-ACC-0010","Head Medias Tecnicas Azul 41","Accesorios","Tejido antihumedad y ajuste anatomico. Color Azul. Talla 41. Plantilla demo 10.","8","4.32","45","46","9","","true"
"TPL-ACC-0011","Spalding Gorra Sport Rojo 42","Accesorios","Proteccion solar y ajuste comodo. Color Rojo. Talla 42. Plantilla demo 11.","18","10.26","49","43","10","","true"
"TPL-ACC-0012","Molten Cangurera Runner Gris 43","Accesorios","Ideal para llaves celular y geles. Color Gris. Talla 43. Plantilla demo 12.","30","18","53","40","5","","true"
"TPL-FIT-0013","Yonex Mancuerna Ajustable Verde 44","Fitness","Entrenamiento funcional en casa. Color Verde. Talla 44. Plantilla demo 13.","60","37.8","57","37","6","","true"
"TPL-FIT-0014","Everlast Banda de Resistencia Blanco XS","Fitness","Ideal para movilidad y fuerza. Color Blanco. Talla XS. Plantilla demo 14.","7","3.15","61","55","7","","true"
"TPL-FIT-0015","Speedo Mat de Yoga Naranja S","Fitness","Superficie antideslizante y acolchada. Color Naranja. Talla S. Plantilla demo 15.","33","15.84","5","52","8","","true"
"TPL-FIT-0016","Arena Cuerda de Saltar Morado M","Fitness","Rodamientos suaves para cardio. Color Morado. Talla M. Plantilla demo 16.","8","4.08","9","49","9","","true"
"TPL-CIC-0017","CamelBak Casco Urbano Negro L","Ciclismo","Ventilacion y ajuste seguro. Color Negro. Talla L. Plantilla demo 17.","41","22.14","13","46","10","","true"
"TPL-CIC-0018","HydroPeak Guantes Ciclismo Azul XL","Ciclismo","Acolchado para recorridos largos. Color Azul. Talla XL. Plantilla demo 18.","12","6.84","17","43","5","","true"
"TPL-NAT-0019","ThermoSport Gafas Natacion Rojo Unica","Natacion","Vision clara y antiempanante. Color Rojo. Talla Unica. Plantilla demo 19.","18","10.8","21","40","6","","true"
"TPL-OUT-0020","FitCore Bolso Hidratacion Gris 38","Outdoor","Capacidad extra para rutas largas. Color Gris. Talla 38. Plantilla demo 20.","40","25.2","25","37","7","","true"
"TPL-CAL-0021","Nike Tenis Running Verde 39","Calzado","Amortiguacion reactiva para entreno y uso diario. Color Verde. Talla 39. Plantilla demo 21.","98","44.1","29","55","8","","true"
"TPL-CAL-0022","Adidas Tenis Trail Blanco 40","Calzado","Suela con agarre para senderos y exteriores. Color Blanco. Talla 40. Plantilla demo 22.","105","50.4","33","52","9","","true"
"TPL-CAL-0023","Puma Taquetes Futbol Naranja 41","Calzado","Estabilidad y traccion para cancha. Color Naranja. Talla 41. Plantilla demo 23.","115","58.65","37","49","10","","true"
"TPL-ROP-0024","Under Armour Camiseta Dry Fit Morado 42","Ropa","Tela transpirable para entrenamientos intensos. Color Morado. Talla 42. Plantilla demo 24.","39","21.06","41","46","5","","true"
"TPL-ROP-0025","Reebok Short Deportivo Negro 43","Ropa","Ligero comodo y de secado rapido. Color Negro. Talla 43. Plantilla demo 25.","21","11.97","45","43","6","","true"
